Data Source,DISTRICT,Variety,Yield
ARD,Jamalpur,BRRI dhan92,7.25
ARD,Jamalpur,BRRI dhan104,6.2
ARD,Jamalpur,BRRI hybrid dhan8,8.1
ARD,Jamalpur,BRRI dhan105,6.7
ARD,Jamalpur,BRRI dhan104,6
ARD,Jamalpur,BRRI dhan89,5.9
ARD,Jamalpur,BRRI dhan89,6.2
ARD,Jamalpur,BRRI dhan102,7.8
ARD,Jamalpur,BRRI dhan102,8.6
ARD,Jamalpur,BRRI dhan108,8.2
ARD,Jamalpur,BRRI dhan89,6.8
ARD,Jamalpur,BRRI hybrid dhan8,7.9
ARD,Jamalpur,BRRI dhan96,6.2
ARD,Jamalpur,BRRI dhan104,5.6
ARD,Jamalpur,BRRI dhan89,6.3
ARD,Jamalpur,BRRI dhan102,7.4
ARD,Jamalpur,BRRI dhan92,7.1
ARD,Jamalpur,BRRI dhan92,7.5
ARD,Jamalpur,BRRI dhan102,8.1
ARD,Jamalpur,BRRI dhan96,6.5
ARD,Jamalpur,BRRI dhan104,5.9
ARD,Rangamati,BRRI dhan105,6.8
ARD,Rangamati,BRRI dhan105,7
ARD,Rangamati,BRRI dhan104,6.2
ARD,Rangamati,BRRI dhan104,6.3
ARD,Rangamati,BRRI hybrid dhan8,7.9
ARD,Rangamati,BRRI dhan96,5.4
ARD,Rangamati,BRRI dhan104,6.1
ARD,Rangamati,BRRI dhan96,6.5
ARD,Rangamati,BRRI dhan96,5.6
ARD,Rangamati,BRRI dhan102,6.89
ARD,Rangamati,BRRI dhan104,5.5
ARD,Rangamati,BRRI dhan104,6.2
ARD,Rangamati,BRRI dhan105,5.5
ARD,Rangamati,BRRI dhan107,5.8
ARD,Rangamati,BRRI dhan108,8.6
ARD,Rangamati,BRRI hybrid dhan8,6.2
ARD,Tangail,BRRI dhan92,7.51
ARD,Tangail,BRRI dhan92,7.04
ARD,Tangail,BRRI dhan102,6.91
ARD,Tangail,BRRI dhan102,7.42
ARD,Tangail,BRRI dhan104,5.01
ARD,Tangail,BRRI dhan104,4.82
ARD,Tangail,BRRI dhan105,5.21
ARD,Tangail,BRRI dhan105,5.14
ARD,Tangail,BRRI dhan107,5.51
ARD,Tangail,BRRI dhan107,4.81
ARD,Tangail,BRRI dhan108,8.42
ARD,Tangail,BRRI hybrid dhan8,8.61
ARD,Tangail,BRRI hybrid dhan8,8.3
ARD,Tangail,BRRI dhan108,7.4
ARD,Tangail,BRRI dhan104,7.1
ARD,Tangail,BRRI dhan104,7.4
ARD,Tangail,BRRI dhan89,7.9
ARD,Tangail,BRRI dhan89,7.6
ARD,Tangail,BRRI dhan105,7.9
ARD,Tangail,BRRI dhan104,7.4
ARD,Tangail,BRRI dhan105,7.5
ARD,Tangail,BRRI dhan89,7.7
ARD,Narayanganj,BRRI dhan107,5.56
ARD,Narayanganj,BRRI dhan104,5.01
ARD,Narayanganj,BRRI dhan96,6.2
ARD,Narayanganj,BRRI dhan104,5.23
ARD,Narayanganj,BRRI dhan102,7.21
ARD,Narayanganj,BRRI dhan96,6.56
ARD,Narayanganj,BRRI dhan102,7.51
ARD,Narayanganj,BRRI hybrid dhan8,8.51
ARD,Narayanganj,BRRI dhan89,6.51
ARD,Narayanganj,BRRI dhan89,7.02
ARD,Narayanganj,BRRI dhan102,6.9
ARD,Narayanganj,BRRI dhan92,6.5
